Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Date,Time,mental_health_friendly_score
37,Female,United States,No,No,Yes,Often,2,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,2014-08-27,11:29:31,1
44,Male,United States,No,No,No,Rarely,6,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,2014-08-27,11:29:37,0
32,Male,Canada,No,No,No,Rarely,2,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,2014-08-27,11:29:44,0
31,Male,United Kingdom,No,Yes,Yes,Often,3,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,2014-08-27,11:29:46,1
31,Male,United States,No,No,No,Never,4,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No,2014-08-27,11:30:22,1
33,Male,United States,No,Yes,No,Sometimes,2,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,2014-08-27,11:31:22,1
35,Female,United States,No,Yes,Yes,Sometimes,1,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,2014-08-27,11:31:50,0
39,Male,Canada,No,No,No,Never,1,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,No,2014-08-27,11:32:05,1
42,Female,United States,No,Yes,Yes,Sometimes,4,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,2014-08-27,11:32:39,1
23,Male,Canada,No,No,No,Never,3,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2014-08-27,11:32:43,0
31,Male,United States,No,No,Yes,Sometimes,2,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,2014-08-27,11:32:44,0
29,Male,Bulgaria,No,No,No,Never,4,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,2014-08-27,11:32:49,0
42,Female,United States,No,Yes,Yes,Sometimes,3,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,2014-08-27,11:33:23,1
36,Male,United States,No,Yes,No,Never,5,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,2014-08-27,11:33:26,0
27,Male,Canada,No,No,No,Never,2,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,2014-08-27,11:33:57,0
29,Female,United States,No,Yes,Yes,Rarely,3,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,2014-08-27,11:34:00,1
23,Male,United Kingdom,No,No,Yes,Sometimes,3,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,2014-08-27,11:34:20,0
32,Male,United States,No,No,Yes,Sometimes,2,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,2014-08-27,11:34:37,1
46,Male,United States,Yes,Yes,No,Sometimes,1,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,2014-08-27,11:34:53,1
36,Male,France,Yes,Yes,No,,2,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,2014-08-27,11:35:08,1
29,Male,United States,No,Yes,Yes,Sometimes,4,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,2014-08-27,11:35:12,1
31,Male,United States,Yes,No,No,Never,1,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,2014-08-27,11:35:24,1
46,Male,United States,No,No,Yes,Often,3,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,2014-08-27,11:35:48,1
41,Male,United States,No,No,Yes,Never,6,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No,2014-08-27,11:36:24,0
33,Male,United States,No,Yes,Yes,Rarely,3,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No,2014-08-27,11:36:48,1
35,Male,United States,No,Yes,Yes,Sometimes,6,No,No,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,2014-08-27,11:37:08,1
33,Male,United States,No,No,No,,1,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,2014-08-27,11:37:23,0
35,Female,United States,No,Yes,Yes,Rarely,2,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2014-08-27,11:37:59,1
34,Male,United States,No,No,Yes,Sometimes,3,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No,2014-08-27,11:38:12,0
37,Male,United Kingdom,No,No,No,Sometimes,2,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No,2014-08-27,11:38:18,0
32,Male,United Kingdom,No,No,No,Never,2,Yes,Yes,No,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,2014-08-27,11:39:03,0
31,Male,United States,Yes,Yes,No,Rarely,1,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,2014-08-27,11:38:55,1
30,Male,United Kingdom,No,Yes,Yes,Sometimes,5,Yes,Yes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Don't know,No,2014-08-27,11:39:31,1
42,Male,United States,No,Yes,Yes,Sometimes,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No,2014-08-27,11:39:36,1
40,Female,United States,No,No,Yes,Sometimes,1,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No,2014-08-27,11:40:51,1
27,Male,United States,No,No,Yes,Rarely,2,No,Yes,No,Yes,No,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,2014-08-27,11:41:17,1
29,Male,Canada,No,No,No,Rarely,1,No,Yes,No,No,No,No,Don't know,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know,No,2014-08-27,11:41:37,0
38,Male,Portugal,No,No,No,,4,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,2014-08-27,11:41:50,1
50,Male,United States,No,No,No,,4,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,2014-08-27,11:42:08,1
35,Male,United States,No,No,Yes,Rarely,6,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,2014-08-27,11:42:15,1
24,Male,United Kingdom,No,No,Yes,Sometimes,2,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Yes,No,Yes,2014-08-27,11:42:25,0
35,Male,United States,No,No,No,,6,Yes,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know,No,2014-08-27,11:42:31,1
